beneficiario,EJERCICIO,programa,componente,unidad_administrativa,cve_entidad,entidad,monto_federal_aportado,tipo_cobertura,nom_abr,rnpa,unidadeconmica,tipo_ue,tipopersona_ue,representantelegal_ue,tipoempresa_ue,estado_ue,cve_ent_ue,municipio,cve_mun,localidad_ue,cve_loc,cve_inegi,ambito_ue,latitud_ue,longitud_ue,altitud_ue,lat_dec_ue,lon_dec_ue,iniciooper,fechaderegistroactualizacion_ue,RNPA_disponible,zona,clasificacion_cn
ASOCIACION DE PESCADORES COOPERATIVISTAS DEL SECTOR SOCIAL DE LA PESCA DEL ESTADO DE SINALOA AC,2010,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,25,SINALOA,1077480,ESTATAL,SIN,2501008961,APC DEL SECTOR SOCIAL DE LA PESCA DEL EDO DE SINALOA AC,ACUACULTURA,MORAL,CANDELARIO GALLARZA SANCHEZ,ASOCICACIÓN CIVIL,SINALOA,25,CULIACAN,6,CULIACAN ROSALES,1,250060001,U,244831.709,1072337.522,57,24.808808,-107.393756,10/2/2016,8/11/2016,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
ASOCIACION ESTATAL DE PESCA DEPORTIVA DE TAMAULIPAS AC,2009,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,28,TAMAULIPAS,371840,ESTATAL,TAMPS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
ASOCIACION ESTATAL DE PESCA DEPORTIVA DE TAMAULIPAS AC,2010,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,28,TAMAULIPAS,502720,ESTATAL,TAMPS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
ASOCIACION ESTATAL DE PESCA DEPORTIVA Y PRESTADORES DE SERVICIOS NAUTICOS DEL ESTADO DE CAMPECHE AC,2010,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,4,CAMPECHE,299376,ESTATAL,CAMP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,CARIBE,INSPECCIÓN Y VIGILANCIA
ASOCIACION ESTATAL DE PRODUCTORES DE LA INDUSTRIA PESQUERA Y ACUICOLA DE VERACRUZ AC,2008,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,30,VERACRUZ,686479.98,ESTATAL,VER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
ASOCIACION ESTATAL DE PRODUCTORES DE LA INDUSTRIA PESQUERA Y ACUICOLA DE VERACRUZ AC,2016,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO PESQUERO Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,30,VERACRUZ,381000,ESTATAL,VER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
ASOCIACION ESTATAL DE PRODUCTORES DE LA INDUSTRIA PESQUERA Y ACUICOLA DE VERACRUZ AC,2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,30,VERACRUZ,1248696,ESTATAL,VER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
ASOCIACION ESTATAL DE PRODUCTORES DE LA INDUSTRIA PESQUERA Y ACUICOLA DE VERACRUZ AC,2012,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,30,VERACRUZ,845508.8,ESTATAL,VER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
ASOCIACION ESTATAL DE PRODUCTORES DE LA INDUSTRIA PESQUERA Y ACUICOLA DE VERACRUZ AC,2009,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,30,VERACRUZ,908514,ESTATAL,VER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
ASOCIACION ESTATAL DE PRODUCTORES DE LA INDUSTRIA PESQUERA Y ACUICOLA DE VERACRUZ AC,2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO Y VIGILANCIA PESQUERA Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,30,VERACRUZ,801325,ESTATAL,VER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
ASOCIACION ESTATAL DE PRODUCTORES DE LA INDUSTRIA PESQUERA Y ACUICOLA DE VERACRUZ AC,2013,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,30,VERACRUZ,1362251.2,ESTATAL,VER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
ASOCIACION ESTATAL DE PRODUCTORES DE LA INDUSTRIA PESQUERA Y ACUICOLA DE VERACRUZ AC,2011,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,30,VERACRUZ,707160,ESTATAL,VER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
ASOCIACION ESTATAL DE PRODUCTORES DE LA INDUSTRIA PESQUERA Y ACUICOLA DE VERACRUZ AC,2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,30,VERACRUZ,818856,ESTATAL,VER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
ASOCIACION PESQUERA REGASA NUM 2 SPR DE RL,2012,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,2,BAJA CALIFORNIA,714285,ESTATAL,BC,203004726,SPR ASOCIACION PESQUERA REGASA NO 2 DE RL,CAPTURA,MORAL,SANTIAGO RESECK DUARTE,SOCIEDAD DE PRODUCCIÓN RURAL,BAJA CALIFORNIA,2,ENSENADA,1,EL ROSARIO DE ARRIBA,198,20010198,R,300350.271,1154315.129,35,30.063964,-115.720869,18/08/2011,14/02/17,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
ASOCIACION PESQUERA REGASA NUM 2 SPR DE RL,2017,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO Y VIGILANCIA PESQUERA Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,2,BAJA CALIFORNIA,334416,ESTATAL,BC,203004726,SPR ASOCIACION PESQUERA REGASA NO 2 DE RL,CAPTURA,MORAL,SANTIAGO RESECK DUARTE,SOCIEDAD DE PRODUCCIÓN RURAL,BAJA CALIFORNIA,2,ENSENADA,1,EL ROSARIO DE ARRIBA,198,20010198,R,300350.271,1154315.129,35,30.063964,-115.720869,18/08/2011,14/02/17,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
ASOCIACION PESQUERA REGASA NUM 2 SPR DE RL,2013,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,2,BAJA CALIFORNIA,714800,ESTATAL,BC,203004726,SPR ASOCIACION PESQUERA REGASA NO 2 DE RL,CAPTURA,MORAL,SANTIAGO RESECK DUARTE,SOCIEDAD DE PRODUCCIÓN RURAL,BAJA CALIFORNIA,2,ENSENADA,1,EL ROSARIO DE ARRIBA,198,20010198,R,300350.271,1154315.129,35,30.063964,-115.720869,18/08/2011,14/02/17,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
ASOCIACION PESQUERA REGASA NUM 2 SPR DE RL,2008,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,2,BAJA CALIFORNIA,250000,ESTATAL,BC,203004726,SPR ASOCIACION PESQUERA REGASA NO 2 DE RL,CAPTURA,MORAL,SANTIAGO RESECK DUARTE,SOCIEDAD DE PRODUCCIÓN RURAL,BAJA CALIFORNIA,2,ENSENADA,1,EL ROSARIO DE ARRIBA,198,20010198,R,300350.271,1154315.129,35,30.063964,-115.720869,18/08/2011,14/02/17,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
ASOCIACION PESQUERA REGASA NUM 2 SPR DE RL,2009,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,2,BAJA CALIFORNIA,250875,ESTATAL,BC,203004726,SPR ASOCIACION PESQUERA REGASA NO 2 DE RL,CAPTURA,MORAL,SANTIAGO RESECK DUARTE,SOCIEDAD DE PRODUCCIÓN RURAL,BAJA CALIFORNIA,2,ENSENADA,1,EL ROSARIO DE ARRIBA,198,20010198,R,300350.271,1154315.129,35,30.063964,-115.720869,18/08/2011,14/02/17,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
ASOCIACION PESQUERA REGASA NUM 2 SPR DE RL,2016,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,ORDENAMIENTO PESQUERO Y ACUICOLA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,2,BAJA CALIFORNIA,458092.8,ESTATAL,BC,203004726,SPR ASOCIACION PESQUERA REGASA NO 2 DE RL,CAPTURA,MORAL,SANTIAGO RESECK DUARTE,SOCIEDAD DE PRODUCCIÓN RURAL,BAJA CALIFORNIA,2,ENSENADA,1,EL ROSARIO DE ARRIBA,198,20010198,R,300350.271,1154315.129,35,30.063964,-115.720869,18/08/2011,14/02/17,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
ASOCIACION PESQUERA REGASA NUM 2 SPR DE RL,2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,2,BAJA CALIFORNIA,440916,ESTATAL,BC,203004726,SPR ASOCIACION PESQUERA REGASA NO 2 DE RL,CAPTURA,MORAL,SANTIAGO RESECK DUARTE,SOCIEDAD DE PRODUCCIÓN RURAL,BAJA CALIFORNIA,2,ENSENADA,1,EL ROSARIO DE ARRIBA,198,20010198,R,300350.271,1154315.129,35,30.063964,-115.720869,18/08/2011,14/02/17,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
ASOCIACION PESQUERA REGASA NUM 2 SPR DE RL,2011,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,2,BAJA CALIFORNIA,886488,ESTATAL,BC,203004726,SPR ASOCIACION PESQUERA REGASA NO 2 DE RL,CAPTURA,MORAL,SANTIAGO RESECK DUARTE,SOCIEDAD DE PRODUCCIÓN RURAL,BAJA CALIFORNIA,2,ENSENADA,1,EL ROSARIO DE ARRIBA,198,20010198,R,300350.271,1154315.129,35,30.063964,-115.720869,18/08/2011,14/02/17,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
ASOCIACION PESQUERA REGASA NUM 2 SPR DE RL,2010,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,2,BAJA CALIFORNIA,355695,ESTATAL,BC,203004726,SPR ASOCIACION PESQUERA REGASA NO 2 DE RL,CAPTURA,MORAL,SANTIAGO RESECK DUARTE,SOCIEDAD DE PRODUCCIÓN RURAL,BAJA CALIFORNIA,2,ENSENADA,1,EL ROSARIO DE ARRIBA,198,20010198,R,300350.271,1154315.129,35,30.063964,-115.720869,18/08/2011,14/02/17,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
BEAN AB SC DE RL DE CV,2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,26,SONORA,1942900,ESTATAL,SON,2607603012,BEAN AB SC DE RL DE CV,CAPTURA,MORAL,BENITO ANGULO ANGULO,COOPERATIVA,SONORA,26,PUERTO PENASCO,48,PUERTO PENASCO,1,260480001,U,311822.877,1133225.784,4,31.306355,-113.540496,18/02/2010,27/04/17,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
BEAN AB SC DE RL DE CV,2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,26,SONORA,921397,ESTATAL,SON,2607603012,BEAN AB SC DE RL DE CV,CAPTURA,MORAL,BENITO ANGULO ANGULO,COOPERATIVA,SONORA,26,PUERTO PENASCO,48,PUERTO PENASCO,1,260480001,U,311822.877,1133225.784,4,31.306355,-113.540496,18/02/2010,27/04/17,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
CAMARA NACIONAL DE LAS INDUSTRIAS PESQUERA Y ACUICOLA (DELEGACION CAMPECHE),2009,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,4,CAMPECHE,1287600,ESTATAL,CAMP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,CARIBE,INSPECCIÓN Y VIGILANCIA
CAMARA NACIONAL DE LAS INDUSTRIAS PESQUERA Y ACUICOLA (DELEGACION CAMPECHE),2010,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,4,CAMPECHE,2148990,ESTATAL,CAMP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,CARIBE,INSPECCIÓN Y VIGILANCIA
CAMARA NACIONAL DE LAS INDUSTRIAS PESQUERA Y ACUICOLA (DELEGACION CAMPECHE),2008,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,4,CAMPECHE,1123903.8,ESTATAL,CAMP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,CARIBE,INSPECCIÓN Y VIGILANCIA
CAMARA NACIONAL DE LAS INDUSTRIAS PESQUERA Y ACUICOLA (DELEGACION CHIAPAS),2010,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,7,CHIAPAS,681984,ESTATAL,CHIS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO SUR,INSPECCIÓN Y VIGILANCIA
CAMARA NACIONAL DE LAS INDUSTRIAS PESQUERA Y ACUICOLA (DELEGACION SINALOA),2008,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,25,SINALOA,529740,ESTATAL,SIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
CAMARA NACIONAL DE LAS INDUSTRIAS PESQUERA Y ACUICOLA (DELEGACION SINALOA),2010,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,25,SINALOA,1613383.03,ESTATAL,SIN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
CAMARA NACIONAL DE LAS INDUSTRIAS PESQUERA Y ACUICOLA (DELEGACION TAMAULIPAS),2010,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,28,TAMAULIPAS,1024814.16,ESTATAL,TAMPS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
CAMARA NACIONAL DE LAS INDUSTRIAS PESQUERA Y ACUICOLA (DELEGACION TAMAULIPAS),2009,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,28,TAMAULIPAS,991859.4,ESTATAL,TAMPS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
CANON DE LA ZORRA SC DE RL DE CV,2012,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,5,COAHUILA,137632,ESTATAL,COAH,500000013,CANON DE LA ZORRA SC DE RL DE CV,CAPTURA,MORAL,FRANCISCO CHAVEZ AMAYA,COOPERATIVA,COAHUILA,5,ACUNA,2,CIUDAD ACUNA,1,50020001,U,291948.02,1005841.73,291,29.330006,-100.978258,20/05/2010,16/03/16,Disponible,AGUAS INTERIORES,INSPECCIÓN Y VIGILANCIA
CANON DE LA ZORRA SC DE RL DE CV,2013,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,5,COAHUILA,177600,ESTATAL,COAH,500000013,CANON DE LA ZORRA SC DE RL DE CV,CAPTURA,MORAL,FRANCISCO CHAVEZ AMAYA,COOPERATIVA,COAHUILA,5,ACUNA,2,CIUDAD ACUNA,1,50020001,U,291948.02,1005841.73,291,29.330006,-100.978258,20/05/2010,16/03/16,Disponible,AGUAS INTERIORES,INSPECCIÓN Y VIGILANCIA
CLUB NAUTICO TAMPAMACHOCO ASOCIACION CIVIL,2012,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,30,VERACRUZ,403478.4,ESTATAL,VER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
CLUB NAUTICO TAMPAMACHOCO ASOCIACION CIVIL,2010,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,30,VERACRUZ,420300,ESTATAL,VER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
CLUB NAUTICO TAMPAMACHOCO ASOCIACION CIVIL,2013,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,30,VERACRUZ,425236,ESTATAL,VER,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
COMITE DE ARMADORES Y RIVERENOS PARA VIGILAR LAS VEDAS AC,2009,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,26,SONORA,4289268.3,ESTATAL,SON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
COMITE DE ARMADORES Y RIVERENOS PARA VIGILAR LAS VEDAS AC,2012,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,26,SONORA,2234133.33,ESTATAL,SON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
COMITE DE ARMADORES Y RIVERENOS PARA VIGILAR LAS VEDAS AC,2010,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,26,SONORA,5810651,ESTATAL,SON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
COMITE PESQUERO DE LERMA AC,2012,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,4,CAMPECHE,92612,ESTATAL,CAMP,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,CARIBE,INSPECCIÓN Y VIGILANCIA
CONFED NACIONAL COOPERATIVA PESQUERA SC DE RL,2014,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,25,SINALOA,2542500,ESTATAL,SIN,901001305,CONFED NACIONAL COOPERATIVA PESQUERA SC DE RL,"ACUACULTURA, CAPTURA",MORAL,ARMANDO CASTRO LEAL,COOPERATIVA,CIUDAD DE MEXICO,9,CUAUHTEMOC,15,CUAUHTEMOC,1,90150001,U,192629.928,990906.781,2230,19.441647,-99.151884,13/03/1997,23/06/15,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
CONFED NACIONAL COOPERATIVA PESQUERA SC DE RL,2012,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,3,BAJA CALIFORNIA SUR,1680000,ESTATAL,BCS,901001305,CONFED NACIONAL COOPERATIVA PESQUERA SC DE RL,"ACUACULTURA, CAPTURA",MORAL,ARMANDO CASTRO LEAL,COOPERATIVA,CIUDAD DE MEXICO,9,CUAUHTEMOC,15,CUAUHTEMOC,1,90150001,U,192629.928,990906.781,2230,19.441647,-99.151884,13/03/1997,23/06/15,Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
CONSEJO DEL CAMARON EN TAMAULIPAS AC,2012,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,28,TAMAULIPAS,1234856.88,ESTATAL,TAMPS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,GOLFO DE MEXICO,INSPECCIÓN Y VIGILANCIA
COOPERATIVA PESQUERA Y CAMPAMENTO TORTUGUERO SANTA CRUZ DE MITLA SC DE RL,2011,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,12,GUERRERO,141120,ESTATAL,GRO,1201007976,COOPERATIVA PESQUERA Y CAMPAMENTO TORTUGUERO SANTA CRUZ DE MITLA SC DE RL,CAPTURA,MORAL,VALENTIN ANDRADE ABARCA,COOPERATIVA,GUERRERO,12,COYUCA DE BENITEZ,21,SANTA CRUZ DE MITLA,255,120210255,R,165943.908,1001411.119,-3,16.99553,-100.236422,18/08/2011,28/07/15,Disponible,PACIFICO SUR,INSPECCIÓN Y VIGILANCIA
DISTRIBUIDORA DE MARISCOS DEL SUR SA DE CV,2009,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,7,CHIAPAS,912000,ESTATAL,CHIS,705002988,DISTRIBUIDORA DE MARISCOS DEL SUR SA DE CV,CAPTURA,MORAL,NO DISPONIBLE,EMPRESA PRIVADA,NO DISPONIBLE,7,NO DISPONIBLE,NA,NO DISPONIBLE,NA,NA,NA,NA,NA,NA,NA,NA,18/08/2011,18/08/11,Disponible,PACIFICO SUR,INSPECCIÓN Y VIGILANCIA
DISTRIBUIDORA DE MARISCOS DEL SUR SA DE CV,2008,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,7,CHIAPAS,529740,ESTATAL,CHIS,705002988,DISTRIBUIDORA DE MARISCOS DEL SUR SA DE CV,CAPTURA,MORAL,NO DISPONIBLE,EMPRESA PRIVADA,NO DISPONIBLE,7,NO DISPONIBLE,NA,NO DISPONIBLE,NA,NA,NA,NA,NA,NA,NA,NA,18/08/2011,18/08/11,Disponible,PACIFICO SUR,INSPECCIÓN Y VIGILANCIA
FED DE COOPERATIVAS DE LA INDUSTRIA PESQUERA SONORENSE SC DE RL,2015,PROGRAMA DE FOMENTO A LA PRODUCTIVIDAD,SOPORTE PARA LA VIGILANCIA DE LOS RECURSOS PESQUEROS Y ACUICOLAS,DIRECCION GENERAL DE INSPECCION Y VIGILANCIA,26,SONORA,300840,ESTATAL,SON,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO NORTE,INSPECCIÓN Y VIGILANCIA
FED DE COOPERATIVAS DE LA INDUSTRIA PESQUERA Y ACUICOLA DE LA COSTA NORTE DE JALISCO SC DE RL,2010,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,14,JALISCO,1181700,ESTATAL,JAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO SUR,INSPECCIÓN Y VIGILANCIA
FED DE COOPERATIVAS DE LA INDUSTRIA PESQUERA Y ACUICOLA DE LA COSTA NORTE DE JALISCO SC DE RL,2009,PROGRAMA SOPORTE,INSPECCION Y VIGILANCIA,ND,14,JALISCO,491925,ESTATAL,JAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO SUR,INSPECCIÓN Y VIGILANCIA
FED DE COOPERATIVAS DE LA INDUSTRIA PESQUERA Y ACUICOLA DE LA COSTA NORTE DE JALISCO SC DE RL,2011,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,14,JALISCO,1443800,ESTATAL,JAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO SUR,INSPECCIÓN Y VIGILANCIA
FED DE COOPERATIVAS DE LA INDUSTRIA PESQUERA Y ACUICOLA DE LA COSTA NORTE DE JALISCO SC DE RL,2012,PROGRAMA DE SUSTENTABILIDAD ,INSPECCION Y VIGILANCIA,ND,14,JALISCO,1514000,ESTATAL,JAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No Disponible,PACIFICO SUR,INSPECCIÓN Y VIGILANCIA
